date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:55	71560/71560	---M-Z	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202020%2000:32:38%20GMT	http://droitthemes.com/html/saasland/home-startup.html	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/home-startup.html	(from )
16:32:55	29/29	---M--	200	added ('OK')	text/plain	date:Tue,%2014%20Nov%202017%2023:40:04%20GMT	http://droitthemes.com/robots.txt		(from )
16:32:56	2384/2384	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Apr%202020%2023:45:32%20GMT	http://droitthemes.com/html/saasland/img/favicon.png	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/img/favicon.png	(from http://droitthemes.com/html/saasland/home-startup.html)
16:32:57	142047/142047	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2023:45:30%20GMT	http://droitthemes.com/html/saasland/css/bootstrap.min.css	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/css/bootstrap.min.css	(from http://droitthemes.com/html/saasland/home-startup.html)
16:32:57	17516/17516	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2023:46:38%20GMT	http://droitthemes.com/html/saasland/vendors/themify-icon/themify-icons.css	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/vendors/themify-icon/themify-icons.css	(from http://droitthemes.com/html/saasland/home-startup.html)
16:32:57	71403/71403	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2023:46:36%20GMT	http://droitthemes.com/html/saasland/vendors/font-awesome/css/all.css	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/vendors/font-awesome/css/all.css	(from http://droitthemes.com/html/saasland/home-startup.html)
16:32:58	960/960	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2023:46:36%20GMT	http://droitthemes.com/html/saasland/vendors/flaticon/flaticon.css	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/vendors/flaticon/flaticon.css	(from http://droitthemes.com/html/saasland/home-startup.html)
16:32:58	83671/83671	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2023:46:32%20GMT	http://droitthemes.com/html/saasland/vendors/animation/animate.css	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/vendors/animation/animate.css	(from http://droitthemes.com/html/saasland/home-startup.html)
16:32:59	3356/3356	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2023:46:36%20GMT	http://droitthemes.com/html/saasland/vendors/owl-carousel/assets/owl.carousel.min.css	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/vendors/owl-carousel/assets/owl.carousel.min.css	(from http://droitthemes.com/html/saasland/home-startup.html)
16:32:59	7857/7857	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Apr%202020%2023:46:36%20GMT	http://droitthemes.com/html/saasland/vendors/magnify-pop/magnific-popup.css	C:/Users/Lenovo/Desktop/template_sassland/saasland/droitthemes.com/html/saasland/vendors/magnify-pop/magnific-popup.css	(from http://droitthemes.com/html/saasland/home-startup.html)
